"station","elevation","latitude","longitude","landuse"
"m4 snow",2010,46.7421993149,10.6990189558,"bs"
"p1",1526,46.685863,10.58294569,"pa"
"m5",1823,46.7013581475,10.6158558728,"pa"
"m3",2232,46.76683822,10.70120078,"pa"
"s3",2680,46.76671,10.71079,"pa"
"s4",2396,46.706995,10.602312,"pa"
"p3",1577,46.6851443069,10.5857553648,"pa"
"m4",1986,46.7404846683,10.6969922804,"pa"
"p2",1549,46.684249288,10.5850561988,"pa"
"m2",2180,46.71110568,10.69164718,"pa"
"m1",1839,46.71328209,10.6412642,"me"
"i1",1490,46.6870089577,10.5796932062,"me"
"b3",1930,46.6917328627,10.5918853513,"me"
"i3",1430,46.6840937033,10.5816655619,"me"
"b2",1490,46.6862577024,10.5798451965,"me"
"b1",990,46.6612188656,10.5902491243,"me"
"s2",1635,46.6988975013,10.6192327499,"me"
"f6",2360,46.695578,10.648088,"fo"
"xs6",1778,46.68895823,10.63043102,"fo"
"f5",2090,46.73886,10.68865,"fo"
"f4",2027,46.69865,10.64211,"fo"
"f3",1985,46.69759,10.60724,"fo"
"f2",1710,46.69435,10.61268,"fo"
"f1",1154,46.67776,10.577797,"fo"
